time, x
3.220000, 8.618954
3.230000, 8.617419
3.240000, 8.615892
3.250000, 8.614373
3.260000, 8.612861
3.270000, 8.611357
3.280000, 8.609861
3.290000, 8.608372
3.300000, 8.606891
3.310000, 8.605418
3.320000, 8.603952
3.330000, 8.602493
3.340000, 8.601042
3.350000, 8.599598
3.360000, 8.598161
3.370000, 8.596732
3.380000, 8.595310
3.390000, 8.593895
3.400000, 8.592488
3.410000, 8.591087
3.420000, 8.589694
3.430000, 8.588307
3.440000, 8.586928
3.450000, 8.585555
3.460000, 8.584190
3.470000, 8.582831
3.480000, 8.581479
3.490000, 8.580135
3.500000, 8.578796
3.510000, 8.577465
3.520000, 8.576140
3.530000, 8.574822
3.540000, 8.573511
3.550000, 8.572206
3.560000, 8.570908
3.570000, 8.569616
3.580000, 8.568331
3.590000, 8.567052
3.600000, 8.565780
3.610000, 8.564514
3.620000, 8.563255
3.630000, 8.562002
3.640000, 8.560755
3.650000, 8.559514
3.660000, 8.558279
3.670000, 8.557051
3.680000, 8.555829
3.690000, 8.554613
3.700000, 8.553403
3.710000, 8.552199
3.720000, 8.551002
3.730000, 8.549810
3.740000, 8.548624
3.750000, 8.547444
3.760000, 8.546270
3.770000, 8.545102
3.780000, 8.543940
3.790000, 8.542783
3.800000, 8.541632
3.810000, 8.540487
3.820000, 8.539348
3.830000, 8.538214
3.840000, 8.537086
3.850000, 8.535964
3.860000, 8.534847
3.870000, 8.533736
3.880000, 8.532631
3.890000, 8.531530
3.900000, 8.530436
3.910000, 8.529346
3.920000, 8.528263
3.930000, 8.527184
3.940000, 8.526111
3.950000, 8.525043
3.960000, 8.523981
3.970000, 8.522924
3.980000, 8.521872
3.990000, 8.520825
4.000000, 8.519784
4.010000, 8.518748
4.020000, 8.517716
4.030000, 8.516690
4.040000, 8.515669
4.050000, 8.514653
4.060000, 8.513642
4.070000, 8.512637
4.080000, 8.511636
4.090000, 8.510640
4.100000, 8.509649
4.110000, 8.508663
4.120000, 8.507681
4.130000, 8.506705
4.140000, 8.505733
4.150000, 8.504767
4.160000, 8.503805
4.170000, 8.502847
4.180000, 8.501895
4.190000, 8.500947
4.200000, 8.500004
4.210000, 8.499065
4.220000, 8.498131
4.230000, 8.497202
4.240000, 8.496277
4.250000, 8.495357
4.260000, 8.494442
4.270000, 8.493531
4.280000, 8.492624
4.290000, 8.491722
4.300000, 8.490824
4.310000, 8.489931
4.320000, 8.489042
4.330000, 8.488157
4.340000, 8.487277
4.350000, 8.486401
4.360000, 8.485530
4.370000, 8.484663
4.380000, 8.483800
4.390000, 8.482941
4.400000, 8.482086
4.410000, 8.481236
4.420000, 8.480390
4.430000, 8.479548
4.440000, 8.478710
4.450000, 8.477876
4.460000, 8.477046
4.470000, 8.476221
4.480000, 8.475399
4.490000, 8.474581
4.500000, 8.473768
4.510000, 8.472958
4.520000, 8.472153
4.530000, 8.471351
4.540000, 8.470553
4.550000, 8.469759
4.560000, 8.468969
4.570000, 8.468183
4.580000, 8.467401
4.590000, 8.466623
4.600000, 8.465848
4.610000, 8.465077
4.620000, 8.464310
4.630000, 8.463547
4.640000, 8.462787
4.650000, 8.462031
4.660000, 8.461279
4.670000, 8.460530
4.680000, 8.459785
4.690000, 8.459044
4.700000, 8.458306
4.710000, 8.457572
4.720000, 8.456842
4.730000, 8.456115
4.740000, 8.455391
4.750000, 8.454672
4.760000, 8.453955
4.770000, 8.453242
4.780000, 8.452533
4.790000, 8.451827
4.800000, 8.451125
4.810000, 8.450425
4.820000, 8.449730
4.830000, 8.449037
4.840000, 8.448348
4.850000, 8.447663
4.860000, 8.446981
4.870000, 8.446302
4.880000, 8.445626
4.890000, 8.444954
4.900000, 8.444284
4.910000, 8.443619
4.920000, 8.442956
4.930000, 8.442297
4.940000, 8.441640
4.950000, 8.440987
4.960000, 8.440337
4.970000, 8.439691
4.980000, 8.439047
4.990000, 8.438407
5.000000, 8.437769
5.010000, 8.437135
5.020000, 8.436504
5.030000, 8.435876
5.040000, 8.435251
5.050000, 8.434629
5.060000, 8.434009
5.070000, 8.433393
5.080000, 8.432780
5.090000, 8.432170
5.100000, 8.431563
5.110000, 8.430959
5.120000, 8.430358
5.130000, 8.429759
5.140000, 8.429164
5.150000, 8.428571
5.160000, 8.427981
5.170000, 8.427394
5.180000, 8.426810
5.190000, 8.426229
5.200000, 8.425651
5.210000, 8.425075
5.220000, 8.424502
5.230000, 8.423932
5.240000, 8.423365
5.250000, 8.422800
5.260000, 8.422238
5.270000, 8.421679
5.280000, 8.421122
5.290000, 8.420569
5.300000, 8.420017
5.310000, 8.419469
5.320000, 8.418923
5.330000, 8.418380
5.340000, 8.417839
5.350000, 8.417301
5.360000, 8.416766
5.370000, 8.416233
5.380000, 8.415703
5.390000, 8.415175
5.400000, 8.414650
5.410000, 8.414127
5.420000, 8.413607
5.430000, 8.413090
5.440000, 8.412575
5.450000, 8.412062
5.460000, 8.411552
5.470000, 8.411044
5.480000, 8.410539
5.490000, 8.410036
5.500000, 8.409536
5.510000, 8.409038
5.520000, 8.408542
5.530000, 8.408049
5.540000, 8.407558
5.550000, 8.407069
5.560000, 8.406583
5.570000, 8.406099
5.580000, 8.405618
5.590000, 8.405139
5.600000, 8.404662
5.610000, 8.404187
5.620000, 8.403715
5.630000, 8.403245
5.640000, 8.402777
5.650000, 8.402311
5.660000, 8.401848
5.670000, 8.401387
5.680000, 8.400928
5.690000, 8.400471
5.700000, 8.400017
5.710000, 8.399564
5.720000, 8.399114
5.730000, 8.398666
5.740000, 8.398220
5.750000, 8.397777
5.760000, 8.397335
5.770000, 8.396895
5.780000, 8.396458
5.790000, 8.396023
5.800000, 8.395590
5.810000, 8.395158
5.820000, 8.394729
5.830000, 8.394302
5.840000, 8.393877
5.850000, 8.393454
5.860000, 8.393034
5.870000, 8.392615
5.880000, 8.392198
5.890000, 8.391783
5.900000, 8.391370
5.910000, 8.390959
5.920000, 8.390550
5.930000, 8.390143
5.940000, 8.389738
5.950000, 8.389335
5.960000, 8.388934
5.970000, 8.388534
5.980000, 8.388137
5.990000, 8.387741
6.000000, 8.387348
6.010000, 8.386956
6.020000, 8.386566
6.030000, 8.386178
6.040000, 8.385792
6.050000, 8.385408
6.060000, 8.385025
6.070000, 8.384645
6.080000, 8.384266
6.090000, 8.383889
6.100000, 8.383514
6.110000, 8.383140
6.120000, 8.382768
6.130000, 8.382399
6.140000, 8.382030
6.150000, 8.381664
6.160000, 8.381299
6.170000, 8.380937
6.180000, 8.380575
6.190000, 8.380216
6.200000, 8.379858
6.210000, 8.379502
6.220000, 8.379148
6.230000, 8.378795
6.240000, 8.378444
6.250000, 8.378095
6.260000, 8.377748
6.270000, 8.377402
6.280000, 8.377057
6.290000, 8.376715
6.300000, 8.376374
6.310000, 8.376034
6.320000, 8.375696
6.330000, 8.375360
6.340000, 8.375026
6.350000, 8.374693
6.360000, 8.374361
6.370000, 8.374031
6.380000, 8.373703
6.390000, 8.373376
6.400000, 8.373051
6.410000, 8.372728
6.420000, 8.372406
6.430000, 8.372085
6.440000, 8.371766
6.450000, 8.371449
6.460000, 8.371133
6.470000, 8.370818
6.480000, 8.370505
6.490000, 8.370194
6.500000, 8.369884
6.510000, 8.369575
6.520000, 8.369268
6.530000, 8.368962
6.540000, 8.368658
6.550000, 8.368356
6.560000, 8.368054
6.570000, 8.367754
6.580000, 8.367456
6.590000, 8.367159
6.600000, 8.366863
6.610000, 8.366569
6.620000, 8.366276
6.630000, 8.365985
6.640000, 8.365695
6.650000, 8.365406
6.660000, 8.365119
6.670000, 8.364833
6.680000, 8.364548
6.690000, 8.364265
6.700000, 8.363983
6.710000, 8.363703
6.720000, 8.363424
6.730000, 8.363146
6.740000, 8.362869
6.750000, 8.362594
6.760000, 8.362320
6.770000, 8.362047
6.780000, 8.361776
6.790000, 8.361506
6.800000, 8.361237
6.810000, 8.360970
6.820000, 8.360703
6.830000, 8.360438
6.840000, 8.360175
6.850000, 8.359912
6.860000, 8.359651
6.870000, 8.359391
6.880000, 8.359132
6.890000, 8.358875
6.900000, 8.358618
6.910000, 8.358363
6.920000, 8.358109
6.930000, 8.357857
6.940000, 8.357605
6.950000, 8.357355
6.960000, 8.357106
6.970000, 8.356858
6.980000, 8.356611
6.990000, 8.356365
7.000000, 8.356121
7.010000, 8.355878
7.020000, 8.355635
7.030000, 8.355394
7.040000, 8.355155
7.050000, 8.354916
7.060000, 8.354678
7.070000, 8.354442
7.080000, 8.354206
7.090000, 8.353972
7.100000, 8.353739
7.110000, 8.353507
7.120000, 8.353276
7.130000, 8.353046
7.140000, 8.352818
7.150000, 8.352590
7.160000, 8.352363
7.170000, 8.352138
7.180000, 8.351913
7.190000, 8.351690
7.200000, 8.351468
7.210000, 8.351246
7.220000, 8.351026
7.230000, 8.350807
7.240000, 8.350589
7.250000, 8.350372
7.260000, 8.350155
7.270000, 8.349940
7.280000, 8.349726
7.290000, 8.349513
7.300000, 8.349301
7.310000, 8.349090
